id,passage
9797,"New data on viruses isolated from patients with subacute thyroiditis de Quervain 
are reported. Characteristic morphological, cytological, some physico-chemical 
and biological features of the isolated viruses are described. A possible role 
of these viruses in human and animal health disorders is discussed. The isolated 
viruses remain unclassified so far."
11906,"We describe an improved method for detecting deficiency of the acid hydrolase, 
alpha-1,4-glucosidase in leukocytes, the enzyme defect in glycogen storage 
disease Type II (Pompe disease). The procedure requires smaller volumes of blood 
and less time than previous methods. The assay involves the separation of 
leukocytes by Peter's method for beta-glucosidase and a modification of Salafsky 
and Nadler's fluorometric method for alpha-glucosidase."
16083,"We have studied the effects of curare on responses resulting from iontophoretic 
application of several putative neurotransmitters onto Aplysia neurons. These 
neurons have specific receptors for acetylcholine (ACh), dopamine, octopamine, 
phenylethanolamine, histamine, gamma-aminobutyric acid (GABA), aspartic acid, 
and glutamic acid. Each of these substances may on different specific neurons 
elicit at least three types of response, caused by a fast depolarizing Na+, a 
fast hyperpolarizing Cl-, or a slow hyperpolarizing K+ conductance increase. All 
responses resulting from either Na+ or Cl- conductance increases, irrespective 
of which putative transmitter activated the response, were sensitive to curare. 
Most were totally blocked by less than or equal to 10-4 M curare. GABA responses 
were less sensitive and were often only depressed by 10-3 M curare. K+ 
conductance responses, irrespective of the transmitter, were not curare 
sensitive. These results are consistent with a model of receptor organization in 
which one neurotransmitter receptor may be associated with any of at least three 
ionophores, mediating conductance increase responses to Na+, Cl-, and K+, 
respectively. In Aplysia nervous tissue, curare appears not to be a specific 
antagonist for the nicotinic ACh receptor, but rather to be a specific blocking 
agent for a class of receptor-activated Na+ and Cl- responses."
23188,"Kinetic and electrophoretic properties of 230--300 fold purified preparations of 
glucose-6-phosphate dehydrogenase (G6PD) from red cells of donors and patients 
with acute drug hemolytic anemia due to G6PD deficiency were studied. A new 
abnormal variant of G6PD isolated from red cell of a patient with acute drug 
hemolytic anemia, which was not described in literature, has been discovered. 
The abnormal enzyme differs from the normal by decreased Michaelis constant for 
glucose-6-phosphate and nicotinamide adenine dinucleotide phosphate (NADP), by 
increased utilization of analogues of substrates--2-deoxy-glucose-6-phosphate 
and particularly deamino-NADP, by low thermal stability, by the character of 
pH-dependence, by the appearance of a single band of G6PD activity in 
polyacrylamide gel electrophoresis."
23469,"Male Wistar specific-pathogen-free rats aged 2, 7, 17, 30, 60, 120, 200, 360 and 
600 days, all killed in experiment on the same day, were examined. The body 
weight significantly increased until the 200th day, the weight of adrenals until 
the 120th day and the adrenal protein content until the 30th day of life. The 
adrenaline content of the adrenals increased continuously during the 600 days 
studied. Adrenal noradrenaline content increased rapidly over the first 17 days, 
remained at a stable level until the 120th day, and rose to a higher level after 
200 days. The activity of adrenal catecholamine-synthesizing enzymes also 
increased with age: tyrosine hydroxylase gradually increased until the 360th 
day, dopamine-beta-hydroxylase and phenylethanolamine-N-methyl transferase until 
the 200th day. Our results demonstrate that, in the rat, during development 
there is a gradual increase of adrenal weight, adrenaline content, tyrosine 
hydroxylase and phenylethanolamine-N-methyl transferase activity until 
maturation (120th day), whereas the adrenal noradrenaline content reaches the 
adult values earlier, around the 17th day. During aging, adrenal catecholamines 
significantly increase when compared to young-adult rats (120-day-old), probably 
due to the elevated activity of the adrenal catecholamine-synthesizing enzymes. 
The increased adrenal catecholamine levels in old animals might be connected 
with a higher incidence of cardiovascular diseases in aged."
24032,"Tyrosine hydroxylase (TH) and phenylethanolamine-N-methyltransferase (PNMT) 
activities were assayed in adrenal glands of the following groups of the Alaskan 
red-backed vole (Clethrionomys rutilus dawsoni): 1) laboratory reared at 20 
degrees C and 2) exposed to 5 degrees C for 1, 3, 7, and 28 days; 3) wild, 
summer acclimatized; 4) wild, fall acclimatized; and 5) wild, winter 
acclimatized. TH activity in laboratory-acclimated voles exposed to 5 degrees C 
was increased by 2 times after 3 days and remained elevated after 28 days. PNMT 
activity in these same voles was increased after 7 days and also remained 
elevated after 28 days of cold exposure. In wild-acclimatized voles TH activity 
and PNMT activity in summer were equivalent to levels in 28-day cold-acclimated 
laboratory voles. In fall, TH activity was increased to 2.5 times the summer 
value. It decreased by midwinter, but remained elevated above the summer level. 
In contrast, PNMT activity appeared unchanged from summer through fall and 
winter. Pregnant summer voles had markedly increased TH activity. Adrenal 
norepinephrine and epinephrine did not change significantly with cold 
acclimation or seasonal acclimatization. Thus, acclimatization of wild voles to 
fall and winter conditions involved aquisition of a greater capacity to 
synthesize adrenal catecholamines than that produced by exposing 
laboratory-reared voles to an extended period of cold."
30666,"Hemolytic anemia is a well-recognized complication of sulfasalazine treatment. 
17 of 40 (43%) patients with inflammatory bowel disease receiving sulfasalazine 
had evidence of hemolysis as detected by starch gel electrophoresis. Only 47% 
(8) of patients with hemolysis had Heinz body formation. The hemoglobin was 
significantly reduced in patients with hemolysis and 53% had a reticulocyte 
count of greater than 5%. A significant correlation was noted between hemolysis 
and serum sulfapyridine level, but no correlation was seen with serum 
sulfasalazine level. There was no significant difference in disease extent or 
activity in patients with hemolysis compared to those without hemolysis. 
Hemolysis is not a rare side-effect of sulfasalazine therapy. Heinz body 
formation is not invariably found in sulfasalazine-induced hemolysis."
58611,"(1) The RNA replicase induced by bacteriophage Qbeta consists of four 
non-identical subunits designated as alpha (mol. wt. 74000), beta (mol. wt. 
64000), gamma (mol. wt. 47000) and delta (mol. wt. 33000), only one (subunit 
beta) of which is specified by the phage genome. (2) Subunit alpha (30 S 
ribosomal protein ""S1"" as well as translational interference factor ""i"") is 
required only for (+) strand-directed RNA synthesis in the presence of the host 
factor. (3) Qbeta replicase lacking subunit alpha (R-alpha) is capable of 
replicating templates other than (+) strand, such as (--), ""6S"" RNA, poly(C) 
etc., in the absence of the host factor. (4) Subunit beta is suggested to be the 
nucleotide-polymerizing enzyme, but is unable to initiate RNA synthesis by 
itself. (5) Subunits gamma and delta are identical to the protein synthesis 
elongation factors, EF-Tu and EF-Ts, respectively, and are required only for 
initiation of RNA synthesis, but not for elongation. (6) A model of Qbeta 
replicase is presented in order to discuss observed template-enzyme 
interactions."
61441,"Mice were inoculated with human sarcoid tissue homogenates or with a first or a 
second passage homogenate of mouse tissue (including 0.2 mum membrane filtrates) 
originating from the inoculation of human sarcoid, Crohn's disease, or control 
tissue homogenates. Epithelioid and giant cell granulomas were present in the 
footpads and/or viscera of some of the mice given homogenates originating from 
each sarcoid or Crohn's disease tissue 15 months after inoculation but were not 
present in mice given control homogenates. Among mice given homogenates 
originating from human sarcoidosis, granulomas were present in many organs and 
tissues; in contrast, a pattern of selective dissemination of visceral 
granulomas was found among mice given homogenates originating from Crohn's 
disease. This differential distribution of visceral granulomas also followed the 
inoculation of 0.2 mum membrane filtrates. Granulomatous responses at Kveim test 
sites in the ear 9-17 months after inoculation of homogenatesoriginating from 
human sarcoidosis or Crohn's disease were confined to mice showing granulomas in 
footpads of viscera. The ability of the transmissible agents to induce 
granulomas in mice was destroyed when sarcoid or Crohn's tissues were autoclaved 
or when sarcoid homogenates were stored at -20degreesC for 1 week or exposed to 
60Co irradiation (2.5 MR)."
83311,"Bleomycin is potentially capable of inducing a diffuse interstitial fibrosis of 
the lung, the pathogenesis of which has not yet been elucidated. The authors 
have demonstrated that after 48 hr of acute treatment, morphological and 
functional modifications could be seen in type II pneumocytes, which are 
responsible for surfactant production. This might be the earliest stage of 
pulmonary damage."
